No,Bidang yang Bertugas,Nama Konten,Bulan,Jadwal Posting,Jenis Konten,Status,Progress,Content Writer,Designer/Editor,Konsultan,Kameramen,Cast/VO,Support,Link Drive,Link Instagram,Link Facebook,Link Tiktok,Interaksi,Reach,ER,Tanggal Screenshoot,Link Screenshot Insight,Kendala,Solusi,Status Pengingat
1,Hubungan Kelembagaan,"Kondisi Pendidikan di Sultra 
-> Pengeluaran Konsumsi Penduduk",1. Januari,07/04/2026 0:06:00,Poster/Infografis,Wajib,Belum,Hayul dan Rohima,Syadrie,Denny,,,,0108 Pengeluaran Konsumsi Penduduk,https://www.instagram.com/p/DTP5jkJkQg0/?img_index=4&igsh=MXExaGg1OTF3MjhoZw==,https://web.facebook.com/share/v/1X2PQnJUu6/,https://vt.tiktok.com/ZS5Q7V1bF/,110,2602,"4,23",15 Januari 2026,20260108 Tim HK - Pengeluaran Konsumsi Penduduk,,,"H-1HARI,H-30MENIT,SELESAI"
2,Hubungan Media Masa,Tingkat ketimpangan pengeluaran penduduk Sulawesi Tenggara ->Bonus Demografi,1. Januari,19/03/2026 14:31:00,Short Video/Reels,Wajib,Sudah,Zuraida,Zuraida,Denny,,Zuraida,,0122 Bonus Demografi,https://www.instagram.com/reel/DTzk4wjEade/?igsh=MWV3engzYmtxMG5xaw==,https://www.facebook.com/share/v/1ActsHjdb7/,https://vt.tiktok.com/ZSarGhqGd/,119,1631,"7,30",29 Januari 2026,20260129 Bonus Demografi,,,
3,Peliputan,Data dalam Cinta -> Ageing Population,2. Februari,19/03/2026 14:35:00,Poster/Infografis,Wajib,Sudah,Haris,Farhan,Denny,,,,0205 Ageing Population,https://www.instagram.com/p/DUXsRPNkdhe/?img_index=6&igsh=MW5tOXpxZTdla29pcQ==,https://www.facebook.com/share/p/1CCJuvniRr/,https://vt.tiktok.com/ZSa7Ccd8N/,,,#DIV/0!,,,,,"POSTING,H-1MENIT"
4,Sosialisasi Kegiatan,Profil Kemiskinan Sulawesi Tenggara,2. Februari,19/03/2026 14:34:00,Short Video/Reels,Wajib,Sudah,Fani,Fani,Tito/Denny/Wildan,"Ayu, Fani, Erni, Agri","Ayu, Fani, Erni, Agri","Ayu, Fani, Erni, Agri",0219 Profil Kemiskinan,https://www.instagram.com/reel/DU7wrIpERYv/?igsh=eXF3cW9pY2FjMXFp,https://www.facebook.com/share/v/1BD6ZYZTUs/,https://vt.tiktok.com/ZSmf9rhUj/,,,#DIV/0!,,,,,"H-1MENIT,POSTING"
5,Keprotokolan,Ageing Farmer,3. Maret,19/03/2026 14:30:00,Poster/Infografis,Wajib,Sudah,Denny,Denny,,,,,0305 Ageing Farmer,https://www.instagram.com/p/DVf243CkZtt/?utm_source=ig_web_button_share_sheet&igsh=MzRlODBiNWFlZA==,https://www.facebook.com/share/p/1Ghqae7WZt/,https://vt.tiktok.com/ZSueFqaPy/,,,#DIV/0!,,,,,H-1MENIT
6,Hubungan Kelembagaan,Kependudukan dan Bonus demografi,3. Maret,19/03/2026 1:05:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,"H-1MENIT,POSTING"
7,Hubungan Media Masa,Konsumsi Penduduk Provinsi Sulawesi Tenggara,4. April,20/03/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,
8,Peliputan,"Sultra Bergerak, Ekonomi Berdetak",4. April,21/03/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,
9,Sosialisasi Kegiatan,Potensi Tanaman Hortikultura Sulawesi Tenggara,4. April,22/03/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,
10,Keprotokolan,pekerja sektor informal,5. Mei,23/03/2026 14:37:00,Poster/Infografis,Wajib,Belum,,Tito,,,,,,,,,,,#DIV/0!,,,,,
,(target Dummy),Layanan Datangin BPS provinsi Sulawesi Tenggara,5. Mei,24/03/2026 14:37:00,Short Video/Reels,Opsional,Belum,,,,,,,,,,,,,#DIV/0!,,,,,
11,Hubungan Kelembagaan,IPM Sulwesi Tenggara,5. Mei,28/05/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
12,Hubungan Media Masa,Transportasi Provinsi Sulawesi Tenggara,6. Juni,11/06/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
13,Peliputan,Statistik dan Pangan,6. Juni,25/06/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
14,Sosialisasi Kegiatan,Memahami Ketimpangan Gender,7. Juli,09/07/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
15,Keprotokolan,Teknologi & Digitalisasi Sulawesi Tenggara,7. Juli,23/07/2026 14:37:00,Poster/Infografis,Wajib,Belum,,Maudy,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
16,Hubungan Kelembagaan,Pertumbuhan Ekonomi,8. Agustus,06/08/2026 14:37:00,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
,(target Dummy),Layanan CoC BPS provinsi Sulawesi Tenggara,8. Agustus,13/08/2026,Short Video/Reels,Opsional,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
17,Hubungan Media Masa,Ekspor dan Impor Sulawesi Tenggara,8. Agustus,20/08/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
18,Peliputan,Cerita Ekonomi dari Keranjang Belanja,9. September,03/09/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
19,Sosialisasi Kegiatan,Potensi Komoditas Ekspor Sulawesi Tenggara,9. September,17/09/2026,Short Video/Reels,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
20,Keprotokolan,literasi dan pendidikan di Sultra,10. Oktober,01/10/2026,Poster/Infografis,Wajib,Belum,,Tino,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
21,Hubungan Kelembagaan,Sektor Unggulan Sulawesi Tenggara ,10. Oktober,15/10/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
,(target Dummy),Rekomendasi Statistik,10. Oktober,29/10/2026,Short Video/Reels,Opsional,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
22,Hubungan Media Masa,Statistik Perumahan di Sulawesi Tenggara,11. November,05/11/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
23,Peliputan,Mengukur Kesejahteraan Petani Sultra,11. November,19/11/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
,(target Dummy),Layanan Nol Rupiah BPS,11. November,26/11/2026,Short Video/Reels,Opsional,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
24,Sosialisasi Kegiatan,Apa Bedanya Pengangguran dan Setengah Pengagguran,12. Desember,03/12/2026,Poster/Infografis,Wajib,Belum,,,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
25,Keprotokolan,profil kesehatan ibu dan anak,12. Desember,17/12/2026,Poster/Infografis,Wajib,Belum,,Wildan,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
25,Keprotokolan tes uji,profil kesehatan ibu dan anak uji,12. Desember,14/05/2026 14:37:00,Poster/Infografis,Wajib,Belum,,Wildan,,,,,,,,,,,#DIV/0!,,,,,TERKIRIM
26,,,,,,,,,,,,,,,,,,,,,,,,,TERKIRIM
,"Tagar yang ditampilkan
pada caption setiap konten:
#promosistatistik
#sadarstatistik",https://license365bps-my.sharepoint.com/:x:/r/personal/edupromstat_license365bps_onmicrosoft_com/_layouts/15/Doc.aspx?sourcedoc=%7BE85DE853-E967-49A7-8B48-A90440A62E50%7D&file=7400%20SULAWESI%20TENGGARA%20LK%20EPS.xlsx&action=default&mobileredirect=true,,,,,,,,,,,,,,,,,,,,,,,TERKIRIM
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Link Instagram,Link Facebook,Link Tiktok,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Link Instagram,Link Facebook,Link Tiktok,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Link Instagram,Link Facebook,Link Tiktok,,,,,,,,
